Title,Describe,Price,Area,Location,Detail
"BÁN NHÀ  MẶT TIỀN GẦN BIỂN GIÁ 3,XX tỷ","- Nhà mặt tiền 3 tầng, sổ hồng nhà đất.
- Trước nhà là công viên thoáng mát, sạch sẽ. Ra biển 5 phút, gần chợ Ghềnh Ráng, gần trường cấp 1, cấp 2, siêu thị Big C, bến xe, bệnh viện da liễu. 
- Nhà xây ở nên rất kiên cố, mới đẹp, hệ thống nước nóng năng lượng mặt trời nên có nước nóng quanh năm, rất tiết kiệm điện. 
-Gồm 1 PT, 1PK, 2 PN, 1 Bếp , 2 WC, sân phơi, ban công rộng 
- Tặng chủ nhà mới có duyên mua: tủ bếp hiện đại, tủ quần áo gỗ lớn, máy hút mùi, máy lạnh.
- Liên hệ chính chủ 0975.104.504, 0914.177.544","Giá:   3,7 tỷ ",Diện tích:   120 m2,"Địa chỉ tài sản: Phường Ghềnh Ráng, Thành phố Quy Nhơn, Bình Định",Mã tin10745411Hướng_Phòng ănLoại tinCần bánĐường trước nhà---Nhà bếpLoại BDSNhà mặt tiềnPháp lý---Sân thượng---Chiều ngang---Số lầu3Chổ để xe hơi---Chiều dài---Số phòng ngủ2Chính chủ
"BẢO CHỨNG ĐẦU TƯ AN TÂM CAM KẾT MUA LẠI 24%, 5 TẦNG VIEW KÊNH ĐÀO MERRYLAND QUY NHON",None,Giá:   14 tỷ ,Diện tích:   475 m2,"Địa chỉ tài sản: Đường An Dương Vương, Phường Ghềnh Ráng, Thành phố Quy Nhơn, Bình Định","Mã tin11020175Hướng_Phòng ănLoại tinCần bánĐường trước nhà12mNhà bếpLoại BDSBiệt thự, nhà liền kềPháp lýGiấy tờ hợp lệSân thượngChiều ngang6mSố lầu5Chổ để xe hơiChiều dài20mSố phòng ngủ4Chính chủ---Thuộc dự ánKhu nghỉ dưỡng Hai Giang Bay - Quy Nhơn Symphony of the Sea & Sun (xem chi tiết dự án)"
CHÍNH CHỦ BÁN 16.000 M2 MẶT BIỂN QUY NHƠN,"Chính chủ cần bán khu nhà đất mặt biển trung tâm thành phố Quy Nhơn.
- Diện tích 16000m2 (mười sáu ngàn mét vuông).
- Có giấy phép xây dựng 4000m2.
Xung quanh là chuỗi hệ thống các tiện ích: đô thị khoa học, Khu du lịch đẹp: Bãi Xếp, Hoàng Hậu,...
+ Liền kề KDL Ghềnh Ráng Tiên Sa.
+ Cách quảng trường trung tâm 10 phút.
Khu đất vàng giáp biển, phát triển du lịch, thích hợp xây khu biệt thự nghỉ dưỡng, đầu tư chắc chắn sinh lời.
- Giá bán: 10 triệu đồng/m2,
- Pháp lý rõ ràng đã có sổ đỏ và giấy phép xây dựng",Giá:   160 tỷ ,Diện tích:   16.000 m2,"Địa chỉ tài sản: km 16 Quốc Lộ 1D, Phường Ghềnh Ráng, Thành phố Quy Nhơn, Bình Định","Mã tin10721948HướngĐôngPhòng ăn---Loại tinCần bánĐường trước nhà10mNhà bếp---Loại BDSĐất nền, liền kề, đất dự ánPháp lýSổ hồng/ Sổ đỏSân thượng---Chiều ngang200mSố lầu2Chổ để xe hơi---Chiều dài100mSố phòng ngủ40Chính chủ---"
"CHÍNH CHỦ BÁN NHÀ MT XUÂN THỦY, TP QUY NHƠN, BÌNH ĐỊNH THUẬN TIỆN KINH DOANH. MTG","Chính chủ cần bán nhà mặt tiền đường Xuân Thủy, TP Quy Nhơn, Bình Định.

Nhà xây ở diện tích 42m2, hướng Đông Nam.

Nhà gồm 2 phòng ngủ, 2 nhà vsinh, sân thượng phơi đồ, trồng rau. Thích hợp cho vc trẻ. 

Khu sầm uất, đông đúc, gần chợ, gần trường học, gần siêu thị. Thuận tiện mua bán kinh doanh.  

Giá 3,9 tỷ. Sổ đỏ chính chủ. Để lại nội thất khách mua chỉ việc đến ở.

Liên hệ 0988.899.421(chính chủ) - Miễn trung gian.
","Giá:   3,9 tỷ ",Diện tích:   42 m2,"Địa chỉ tài sản: Đường Xuân Thủy, Phường Quang Trung, Thành phố Quy Nhơn, Bình Định",Mã tin10901020HướngĐông NamPhòng ăn---Loại tinCần bánĐường trước nhà---Nhà bếp---Loại BDSNhà mặt tiềnPháp lýSổ hồng/ Sổ đỏSân thượng---Chiều ngang---Số lầu---Chổ để xe hơi---Chiều dài---Số phòng ngủ2Chính chủ
KẸT TIỀN CẦN BÁN LÔ ĐẤT KHU ĐÔ THỊ B3 - AN PHÚ THỊNH - ĐƯỜNG YONGSAN  TP.QUY NHƠN,"Ket tiền Cần bán gấp Lô đất khu đô thị B3- An Phú Thịnh 
Đường Yongsan - Hướng Đông Bác, Ngay Vung Binh - Yong San Trung Tâm
Diện tích : 94 M2 ; Ngang 5m ; Lô 39-18 ( Thần Tài - Sinh Phát).
Đường rộng 36m; Vỉa hè lát đá 6m; Điện nước âm đất, 
Vị Trí ngày trung tâm Khu đô thị Là Khu Đô thị đáng sống Bậc Nhất Tp. Quy Nhơn.
Sổ đỏ chính chủ Cầm tay. Giá có thượng lượng cho Chủ mới thiện chí. Có % cho anh em môi Giới !","Giá:   3,8 tỷ ",Diện tích:   94 m2,"Địa chỉ tài sản: Đường Yongsan, Phường Đống Đa, Thành phố Quy Nhơn, Bình Định","Mã tin10807756Hướng_Phòng ăn---Loại tinCần bánĐường trước nhà36mNhà bếp---Loại BDSĐất thổ cư, đất ởPháp lýSổ hồng/ Sổ đỏSân thượng---Chiều ngang5mSố lầu---Chổ để xe hơi---Chiều dài19mSố phòng ngủ---Chính chủ---"
Bán lô đất đường bê tông gần biển,"Chính chủ cần bán lô đất mặt đường bê tông gần trường, nhìn thấy đường 639, nhìn thấy biển. Khu dân cư đông đúc thích hợp cho vc ra riêng, xây nhà nghỉ, mở quán cafe, quán nhậu. 
 Mặt đường bê tông 3m5, bên hông có đường thông khu dân cư phía sau. Gần khu đấu giá.","Giá:   1,3 tỷ ",Diện tích:   146 m2,"Địa chỉ tài sản: Xã Tam Quan Nam, Huyện Hoài Nhơn, Bình Định","Mã tin11049841HướngNamPhòng ăn---Loại tinCần bánĐường trước nhà3,5mNhà bếp---Loại BDSĐất thổ cư, đất ởPháp lýSổ hồng/ Sổ đỏSân thượng---Chiều ngang5mSố lầu---Chổ để xe hơi---Chiều dài29mSố phòng ngủ---Chính chủ---"
BOOKING CĂN HỘ HOMECATION SỐNG CHUẨN 5* THE SAILING QUY NHƠN - 100% VIEW BIỂN- CK 21%,None,"Giá:   1,7 tỷ ",Diện tích:   52 m2,"Địa chỉ tài sản: Đường Lê Duẩn, Phường Lý Thường Kiệt, Thành phố Quy Nhơn, Bình Định",Mã tin10871832Hướng_Phòng ănLoại tinCần bánĐường trước nhà---Nhà bếpLoại BDSCăn hộ chung cưPháp lý---Sân thượngChiều ngang---Số lầu41Chổ để xe hơiChiều dài---Số phòng ngủ1Chính chủ---Thuộc dự ánCăn hộ chung cư I-Tower Quy Nhơn (xem chi tiết dự án)
"CHÍNH CHỦ CẦN BÁN NHÀ HẺM ĐƯỜNG TĂNG BẠT HỔ, PHƯỜNG TRẦN PHÚ, TP QUY NHƠN","Cần bán nhà tại địa chỉ: Hẻm 207/11 Tăng Bạt Hổ, phường Trần Phú, TP.Quy Nhơn,  tỉnh Bình Định.
- Diện tích: 30.21m2
- Tổng diện tích sử dụng: 100m2
- Chiều ngang 5,3m, dài 5,7m. 
- Hướng Tây Nam.
- Nhà cấp 3, 3 tầng kết cấu bê tông cốt thép kiên cố, gồm:
 + Tầng trệt phòng khách, bếp, wc.
 + Tầng 2, 2 ph ngủ, 1 wc. 
 + Tầng 3, phòng thờ, 1 phòng ngủ, 1 phòng giặt, sân phơi rộng rãi và thoáng mát.
- Hẻm trước nhà 2,85m. Cách mặt tiền đường Tăng Bạt Hổ 100m.
- Khu vực trung tâm thành phố, dân cư đông, an ninh ổn định.
- Gần trường cấp 3 Quốc học. Gần chợ Sân Bay. Cách sân vận động Quy Nhơn 150m...thuận tiện giao thông đi lại. 
- Giá bán: 2,75 tỷ - có thỏa thuận với người có thiện chí.
 Liên hệ SĐT chính chủ: C.Tâm - 0914.140.616/0989.976.339.
","Giá:   2,75 tỷ ",Diện tích:   100 m2,"Địa chỉ tài sản: Đường Tăng Bạt Hổ, Phường Trần Phú, Thành phố Quy Nhơn, Bình Định",Mã tin11005713Hướng_Phòng ăn---Loại tinCần bánĐường trước nhà---Nhà bếp---Loại BDSNhà trong hẻmPháp lý---Sân thượng---Chiều ngang---Số lầu---Chổ để xe hơi---Chiều dài---Số phòng ngủ---Chính chủ---
"Đất biển Quy Nhơn - Ghềnh Ráng, Giá giảm SỐC !!!! Trung tâm TP chỉ 52tr/m2","📣📣MUA ĐẤT TRẢ GÓP 👉 4%/tháng 
- MỞ BÁN 41 LÔ ĐẤT NỀN 
TRUNG TÂM TP.QUY NHƠN
👉 Mặt tiền đường Chế Lan Viên
👉 Cách biển 800m
👉 Cách quảng trường TT 5 phút
👉 Quy hoạch đồng bộ 
👉 Chủ đầu tư Hưng Thịnh
♦️ Nền nhà phố: 5x19; 5x20; 7.5x20
♦️ Nền biệt thự: 10x20; 13x20
- - - - - - - - -🔹🔹🔹- - - - - - - - -
- GIÁ BÁN TRẢ GÓP:
👉 Nền phố: từ 6 tỷ - đợt 1: 1,2 tỷ
👉 Nền biệt thự: từ 9,8 tỷ - đợt 1: 1,9 tỷ
👉 Mỗi tháng góp 4%

- GIÁ BÁN TRẢ 1 LẦN:
👉 Nền phố: từ 5,4 tỷ
👉 Nền biệt thự: từ 8,7 tỷ

 SỔ HỒNG LÂU DÀI","Giá:   5,2 tỷ ",Diện tích:   90 m2,"Địa chỉ tài sản: Đường Chế Lan Viên, Phường Ghềnh Ráng, Thành phố Quy Nhơn, Bình Định",Mã tin10651046Hướng_Phòng ăn---Loại tinCần bánĐường trước nhà16mNhà bếp---Loại BDSNhà mặt tiềnPháp lýSổ hồng/ Sổ đỏSân thượng---Chiều ngang5mSố lầu---Chổ để xe hơi---Chiều dài20mSố phòng ngủ---Chính chủ---
BOOKING CĂN HỘ THE SAILING QUY NHƠN UY TÍN CHUYÊN NGHIỆP!!,"☘☘THE SAILING QUY NHƠN - CĂN HỘ SÁT BIỂN SỞ HỮU VĨNH VIỄN CỰC HIẾM DUY NHẤT TẠI THÀNH PHỐ BIỂN QUY NHƠN☘️☘️

👉 Tọa lạc tại 3 mặt tiền trọng điểm của trung tâm thành phố Quy Nhơn: đường Lê Duẩn, Nguyễn Tư, Vũ Bảo
👉 Chỉ từ 1,7 tỷ/căn view trực diện hướng biển, sinh khí, phong thuỷ tốt.
👉 Chủ đầu tư: Công ty CP Đầu Tư Phát Triển Bất Động Sản Đô Thành
👉 Nhà thầu xây dựng: Vinaconex 2
👉 Quản lý & vận hành: Tập đoàn Wyndham
👉 Diện tích: 10.748m2
👉 Quy mô: 2 toà tháp
   ❤ Tòa tháp Wyndham Sailing Bay Resort Quy Nhơn 36 tầng. 
   ❤Tòa tháp The Sailing 41 tầng
👉 02 tầng hầm
👉 Khối đế từ tầng 1-5 là khu thương mại, dịch vụ, shophouse, nhà hàng, cafe, gym, spa...
👉 Mẫu căn hộ: 1PN - 2PN - 3PN - Penthouse
👉 Pháp lý: Sổ hồng sở hữu vĩnh 
👉 Chỉ cần thanh toán trước 10% ký HĐMB, thanh toán 15 đợt, mỗi đợt chỉ 5%, ngân hàng hỗ trợ 70%, ân hạn 24 tháng lãi suất 0%
👉 Gói chính sách chia sẻ lợi nhuận đến 80% với đơn vị vận hành hàng đầu thế giới về du lịch và lữ hành WYNDHAM HOTELS AND RESORTS
The Sailing Quy Nhơn là dự án có vị trí đẹp nhất, quy mô lớn nhất, và chất lượng bàn giao cao cấp nhất Quy Nhơn
👉 Booking Căn hộ - Khi khách không có nhu cầu mua sẽ hoàn tiền lại cho khách. 
👉 Booking 50 triệu/suất ưu tiên","Giá:   1,7 tỷ ",Diện tích:   52 m2,"Địa chỉ tài sản: Đường Lê Duẩn, Phường Lý Thường Kiệt, Thành phố Quy Nhơn, Bình Định",Mã tin10911726Hướng_Phòng ănLoại tinCần bánĐường trước nhà---Nhà bếpLoại BDSCăn hộ chung cưPháp lý---Sân thượngChiều ngang---Số lầu41Chổ để xe hơiChiều dài---Số phòng ngủ1Chính chủ---Thuộc dự ánCăn hộ chung cư I-Tower Quy Nhơn (xem chi tiết dự án)
