NameMovie,EnNameMovie,Year,Rating_runtime,IMDbRating,CustomerRating,Populary,Genre,Decribe,Director,Writter_Star,User_reviews,CriticReviews_Metascore
Thor: Tình Yêu Và Sấm Sét,Thor: Love and Thunder,2022,C13C131h 58m,6.9/10,80K,1,ActionAdventureComedy,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,WritersTaika Waititi(story by)Jennifer Kaytin RobinsonStan Lee(based on the Marvel comics by)StarsChris HemsworthNatalie PortmanChristian Bale,1.7K,234 57
Phi Công Siêu Đẳng Maverick,Top Gun: Maverick,2022,C13C132h 10m,8.6/10,227K,3,ActionDrama,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",Joseph Kosinski,WritersJim Cash(based on characters created by)Jack Epps Jr.(based on characters created by)Peter Craig(story by)StarsTom CruiseJennifer ConnellyMiles Teller,2.7K,349 78
Phù Thủy Tối Thượng Trong Đa Vũ Trụ Hỗn Loạn,Doctor Strange in the Multiverse of Madness,2022,C13C132h 6m,7.1/10,300K,6,ActionAdventureFantasy,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others.",Sam Raimi,WritersMichael WaldronStan Lee(Doctor Strange created by)Steve Ditko(Doctor Strange created by)StarsBenedict CumberbatchElizabeth OlsenChiwetel Ejiofor,3.5K,368 60
Thế Giới Khủng Long: Lãnh Địa,Jurassic World Dominion,2022,C13C132h 27m,5.8/10,78K,8,ActionAdventureSci-Fi,"Four years after the destruction of Isla Nublar, dinosaurs now live--and hunt--alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history's most fearsome creatures in a new Era.",Colin Trevorrow,WritersEmily Carmichael(screenplay by)Colin Trevorrow(screenplay by)Derek Connolly(story by)StarsChris PrattBryce Dallas HowardLaura Dern,1.8K,294 38
Phi Công Siêu Đẳng,Top Gun,1986,PGPG1h 50m,6.9/10,390K,11,ActionDrama,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",Tony Scott,"WritersJim CashJack Epps Jr.Ehud Yonay(magazine article ""Top Guns"")StarsTom CruiseTim RobbinsKelly McGillis",732,181 50
Cuộc Chiến Đa Vũ Trụ,Everything Everywhere All at Once,2022,C18C182h 19m,8.2/10,145K,12,ActionAdventureComedy,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led.",Dan Kwan,DirectorsDan KwanDaniel ScheinertWritersDan KwanDaniel ScheinertStarsMichelle YeohStephanie HsuKe Huy Quan,1.6K,288 81
Người Đàn Ông Toronto,The Man from Toronto,2022,C13C131h 50m,5.8/10,25K,13,ActionAdventureThriller,The world's deadliest assassin and New York's biggest screw-up are mistaken for each other at an Airbnb rental.,Patrick Hughes,WritersRobbie Fox(screenplay by)Chris Bremner(screenplay by)Jason Blumenthal(story by)StarsKevin HartWoody HarrelsonJasmine Mathews,296,63 34
Ngày Độc Lập,Independence Day,1996,PG-13PG-132h 25m,7.0/10,568K,15,ActionAdventureSci-Fi,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.",Roland Emmerich,WritersDean DevlinRoland EmmerichStarsWill SmithBill PullmanJeff Goldblum,1K,199 59
Lightyear - Cảnh Sát Vũ Trụ,Lightyear,2022,PP1h 40m,5.3/10,44K,21,AnimationActionAdventure,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source.",Angus MacLane,WritersAngus MacLane(story by)Matthew Aldrich(story by)Jason Headley(story by)StarsChris Evans(voice)Keke Palmer(voice)Peter Sohn(voice),539,204 60
Batman: Vạch Trần Sự Thật,The Batman,2022,C16C162h 56m,7.9/10,539K,23,ActionCrimeDrama,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.",Matt Reeves,WritersMatt ReevesPeter CraigBob Kane(created by: Batman)StarsRobert PattinsonZoë KravitzJeffrey Wright,7.3K,502 72
Chiến Binh Phương Bắc,The Northman,2022,RR2h 17m,7.2/10,140K,25,ActionAdventureDrama,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father's murder.",Robert Eggers,WritersSjónRobert EggersStarsAlexander SkarsgårdNicole KidmanClaes Bang,1.7K,331 82
Gánh Nặng Ngàn Cân Của Tài Năng Kiệt Xuất,The Unbearable Weight of Massive Talent,2022,C16C161h 47m,7.1/10,53K,28,ActionComedyCrime,"In this action-packed comedy, Nicolas Cage plays Nick Cage, channeling his iconic characters as he's caught between a superfan (Pedro Pascal) and a CIA agent (Tiffany Haddish).",Tom Gormican,WritersTom GormicanKevin EttenStarsNicolas CagePedro PascalTiffany Haddish,494,238 68
Thor: Tận Thế Ragnarok,Thor: Ragnarok,2017,C13C132h 10m,7.9/10,714K,29,ActionAdventureComedy,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.",Taika Waititi,WritersEric PearsonCraig KyleChristopher L. YostStarsChris HemsworthTom HiddlestonCate Blanchett,1.8K,461 74
Người Nhện: Không Còn Nhà,Spider-Man: No Way Home,2021,C13C132h 28m,8.3/10,675K,33,ActionAdventureFantasy,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",Jon Watts,WritersChris McKennaErik SommersStan Lee(based on the Marvel comic book by)StarsTom HollandZendayaBenedict Cumberbatch,6K,396 71
Sinh Vật Huyền Bí: Những Bí Mật Của Dumbledore,Fantastic Beasts: The Secrets of Dumbledore,2022,C13C132h 22m,6.2/10,110K,35,ActionAdventureFantasy,Professor Albus Dumbledore must assign Newt Scamander and his fellow partners as Grindelwald begins to lead an army to eliminate all Muggles.,David Yates,WritersJ.K. Rowling(screenplay by)Steve Kloves(screenplay by)StarsEddie RedmayneJude LawEzra Miller,1.2K,200 47
Thành Phố Mất Tích,The Lost City,2022,C13C131h 52m,6.1/10,77K,40,ActionAdventureComedy,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.,Aaron Nee,DirectorsAaron NeeAdam NeeWritersOren Uziel(screenplay by)Dana Fox(screenplay by)Adam Nee(screenplay by)StarsSandra BullockChanning TatumDaniel Radcliffe,783,204 60
Không Phải Lúc Chết,No Time to Die,2021,C16C162h 43m,7.3/10,374K,43,ActionAdventureThriller,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Cary Joji Fukunaga,WritersNeal Purvis(screenplay by)Robert Wade(screenplay by)Cary Joji Fukunaga(screenplay by)StarsDaniel CraigAna de ArmasRami Malek,4K,442 68
Công Viên Kỷ Jura,Jurassic Park,1993,PG-13PG-132h 7m,8.2/10,965K,52,ActionAdventureSci-Fi,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Steven Spielberg,WritersMichael Crichton(novel)David Koepp(screenplay)StarsSam NeillLaura DernJeff Goldblum,1.3K,253 68
Thần Sấm Thor,Thor,2011,PG-13PG-131h 55m,7.0/10,827K,56,ActionAdventureFantasy,"The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",Kenneth Branagh,WritersAshley Miller(screenplay)Zack Stentz(screenplay)Don Payne(screenplay)StarsChris HemsworthAnthony HopkinsNatalie Portman,1K,573 57
Thợ Săn Cổ Vật,Uncharted,2022,(Banned)(Banned)1h 56m,6.4/10,145K,58,ActionAdventure,"Street-smart Nathan Drake is recruited by seasoned treasure hunter Victor ""Sully"" Sullivan to recover a fortune amassed by Ferdinand Magellan, and lost 500 years ago by the House of Moncada.",Ruben Fleischer,WritersRafe Judkins(screenplay by)Art Marcum(screenplay by)Matt Holloway(screenplay by)StarsTom HollandMark WahlbergAntonio Banderas,1.3K,251 45
